Location,Date,Temperature_F
Tennessee,7/1/2015,78.3
Tennessee,8/1/2015,74.2
Tennessee,9/1/2015,70.9
Tennessee,10/1/2015,59.7
Tennessee,11/1/2015,53.5
Tennessee,12/1/2015,51.3
Texas,1/1/2000,50.7
Texas,2/1/2000,57
Texas,3/1/2000,61.4
Texas,4/1/2000,66.1
Texas,5/1/2000,76.9
Texas,6/1/2000,78.6
Texas,7/1/2000,84.1
Texas,8/1/2000,84.2
Texas,9/1/2000,78.1
Texas,10/1/2000,67.2
Texas,11/1/2000,51.1
Texas,12/1/2000,42.4
Texas,1/1/2001,43.9
Texas,2/1/2001,51.9
Texas,3/1/2001,53.3
Texas,4/1/2001,67.8
Texas,5/1/2001,74.1
Texas,6/1/2001,80.9
Texas,7/1/2001,85.1
Texas,8/1/2001,82.8
Texas,9/1/2001,74.9
Texas,10/1/2001,65.4
Texas,11/1/2001,58.9
Texas,12/1/2001,49.4
Texas,1/1/2002,48.7
Texas,2/1/2002,47.1
Texas,3/1/2002,55.4
Texas,4/1/2002,69.1
Texas,5/1/2002,74
Texas,6/1/2002,80.6
Texas,7/1/2002,80.9
Texas,8/1/2002,82.8
Texas,9/1/2002,76
Texas,10/1/2002,64.9
Texas,11/1/2002,53
Texas,12/1/2002,47.8
Texas,1/1/2003,46.2
Texas,2/1/2003,48.3
Texas,3/1/2003,57.2
Texas,4/1/2003,66.6
Texas,5/1/2003,75.8
Texas,6/1/2003,78.5
Texas,7/1/2003,82.1
Texas,8/1/2003,82.9
Texas,9/1/2003,73.9
Texas,10/1/2003,67.4
Texas,11/1/2003,58
Texas,12/1/2003,49.1
Texas,1/1/2004,48.9
Texas,2/1/2004,47.4
Texas,3/1/2004,61.8
Texas,4/1/2004,64.3
Texas,5/1/2004,73.7
Texas,6/1/2004,78.7
Texas,7/1/2004,80.7
Texas,8/1/2004,79.2
Texas,9/1/2004,75.2
Texas,10/1/2004,69.7
Texas,11/1/2004,55.7
Texas,12/1/2004,47.6
Texas,1/1/2005,50.7
Texas,2/1/2005,51.9
Texas,3/1/2005,56.5
Texas,4/1/2005,64.3
Texas,5/1/2005,71.8
Texas,6/1/2005,80.5
Texas,7/1/2005,82.4
Texas,8/1/2005,81.3
Texas,9/1/2005,79.9
Texas,10/1/2005,66.4
Texas,11/1/2005,58.7
Texas,12/1/2005,47.2
Texas,1/1/2006,52.9
Texas,2/1/2006,50.2
Texas,3/1/2006,61.1
Texas,4/1/2006,70.7
Texas,5/1/2006,75.7
Texas,6/1/2006,80.8
Texas,7/1/2006,83.4
Texas,8/1/2006,83.6
Texas,9/1/2006,74.1
Texas,10/1/2006,66.8
Texas,11/1/2006,57.9
Texas,12/1/2006,48.2
Texas,1/1/2007,42.5
Texas,2/1/2007,49.4
Texas,3/1/2007,61.9
Texas,4/1/2007,61.7
Texas,5/1/2007,71.4
Texas,6/1/2007,77.9
Texas,7/1/2007,79
Texas,8/1/2007,81.8
Texas,9/1/2007,77.1
Texas,10/1/2007,68.6
Texas,11/1/2007,57.6
Texas,12/1/2007,49.2
Texas,1/1/2008,46.1
Texas,2/1/2008,53.2
Texas,3/1/2008,58.4
Texas,4/1/2008,65.3
Texas,5/1/2008,74.3
Texas,6/1/2008,82.9
Texas,7/1/2008,81.7
Texas,8/1/2008,80.8
Texas,9/1/2008,73.3
Texas,10/1/2008,65.4
Texas,11/1/2008,56.8
Texas,12/1/2008,48.2
Texas,1/1/2009,47.9
Texas,2/1/2009,55.5
Texas,3/1/2009,59.5
Texas,4/1/2009,64.8
Texas,5/1/2009,73.6
Texas,6/1/2009,81.7
Texas,7/1/2009,84.1
Texas,8/1/2009,83.3
Texas,9/1/2009,74.1
Texas,10/1/2009,64.2
Texas,11/1/2009,57.3
Texas,12/1/2009,43.1
Texas,1/1/2010,44.4
Texas,2/1/2010,44
Texas,3/1/2010,54.8
Texas,4/1/2010,65
Texas,5/1/2010,73.8
Texas,6/1/2010,82.7
Texas,7/1/2010,81.4
Texas,8/1/2010,84.4
Texas,9/1/2010,77.7
Texas,10/1/2010,67.2
Texas,11/1/2010,56.6
Texas,12/1/2010,49.2
Texas,1/1/2011,45
Texas,2/1/2011,48.7
Texas,3/1/2011,61.8
Texas,4/1/2011,70.3
Texas,5/1/2011,74.1
